order,"product id","product name",quantity,price,subtotal
3709292,4252,"Plastic Micro Servo Adapter for LEGO Cross   16mm long",4,0.7500,3
3709292,4261,"USB C Jack to USB C Jack Round Panel Mount Adapter",1,7.5000,7.5
3709292,4411,"Mini Stepper Motor   200 Steps   20x30mm NEMA 8 Size",2,19.9500,39.9
3709292,4424,"4 pin JST PH to JST SH Cable   STEMMA to QT / Qwiic",2,0.9500,1.9
3709292,4528,"Grove to STEMMA QT / Qwiic / JST SH Cable",2,1.9500,3.9
3709292,5244,"Grove Cable Pigtail   2mm pitch 100mm long",2,0.9500,1.9
3709292,5302,"Adafruit KB2040   RP2040 Kee Boar Driver",1,8.9500,8.95
3709292,5384,"STEMMA QT / Qwiic JST SH 4 Pin Cable   300mm long",5,1.2500,6.25
3709292,5719,"PCB Coaster with Gold Adafruit Logo",1,2.5000,2.5
3709292,5906,"Adafruit Proto Doubler PiCowbell for Pico and PicoW",1,7.5000,7.5
3709292,6043,"Horizontal Micro Servo Mount for LEGO Compatible Brick Systems",4,1.7500,7
3709292,6044,"Vertical Micro Servo Mount for LEGO Compatible Brick Systems",4,1.9500,7.8
3709292,6054,"Adafruit Feather Mount for LEGO Compatible Brick Systems",2,1.5000,3
3709292,6069,"USB C Small Round Panel Mount Extension Cable",1,4.5000,4.5
3709292,6153,"USB Type C Screw Panel Mount to 6 pin JST PH Cable",2,2.9500,5.9
3709292,6399,"FeatherS3[D] ESP32 S3 by Unexpected Maker",1,24.9500,24.95
